num_a100,num_h100,num_h200,ttff_s,tbf_s,cost,num_a100_config,num_h100_config,num_h200_config
0,0,108,44.849062781740784,0.02096474188913914,42.09264170199239,0,0,108
0,0,128,44.775328066136616,0.017192888313348653,42.11173721460203,0,0,128
0,0,160,42.69449031770034,0.013271632117269488,42.15897840529827,0,0,160
0,0,256,40.82734501690545,0.007323377241760857,42.40378459489477,0,0,256
0,0,512,38.87185287100053,0.002728282352187969,45.795897181232654,0,0,512
0,0,768,37.47875551824836,0.0014313521223435187,51.42044714822445,0,0,768
0,0,1024,37.149306933545084,0.0011225230546002291,63.07907245056743,0,0,1024
0,0,1536,32.168089761654166,0.0009795731044910424,82.11842313695776,0,0,1536
9,0,8,3338.5294281556967,0.28284117804042236,47.4702199687988,8,0,8
8,0,16,1321.6931151532463,0.13593660003245409,40.61178116690527,8,0,16
8,0,32,449.36247383945124,0.07242020557642498,41.857903123151445,8,0,32
8,0,40,258.2199670751968,0.058669051075682654,42.281637044571355,8,0,40
8,0,64,48.91019403709642,0.03704210290943078,43.12169527687727,8,0,64
8,0,80,48.76628997313905,0.03034310665334907,44.71942127252047,8,0,80
8,0,96,48.7113447850826,0.025773164726119298,46.23094225161531,8,0,96
8,0,108,48.669586442159705,0.02325110170294985,47.42186598412645,8,0,108
8,0,128,48.61854846747616,0.020137571075289556,49.52289813361464,8,0,128
8,0,160,48.564824283598746,0.016798053356294793,52.99787982865088,8,0,160
8,0,256,48.47118530113635,0.01192708256905921,64.15643398135524,8,0,256
8,0,512,46.44476049222504,0.008502678565845991,98.27772122044139,8,0,512
8,0,768,46.416097180212695,0.007361599980250916,133.0653607432231,8,0,768
8,0,1024,41.61147131494726,0.0074602904582925615,173.15349654409957,8,0,1024
8,0,1536,41.118334130427485,0.006972621840521187,246.60706006289166,8,0,1536
17,0,8,2973.3170472778415,0.2563291493756266,51.56495016835663,16,0,8
16,0,16,1182.3706569427015,0.12584075411442486,41.905514556563965,16,0,16
16,0,32,392.97063173418815,0.06880203642906679,41.96955870129835,16,0,32
16,0,40,198.06278343712495,0.05459968994248905,41.2155090823973,16,0,40
16,0,64,47.703395838006294,0.03568234407969646,42.86182027189057,16,0,64
16,0,80,47.59983767053751,0.029487671529722002,44.55388542561346,16,0,80
16,0,96,47.55698359405844,0.02506886849720935,45.918818084118186,16,0,96
16,0,108,45.02978968946479,0.02272886095315567,46.876825844122706,16,0,108
16,0,128,44.98532874331217,0.01969754318213181,48.79847416209446,16,0,128
16,0,160,44.324824283598744,0.01638799504725689,51.764019527484656,16,0,160
16,0,256,44.23118530113635,0.01151702426002131,61.65319093961975,16,0,256
16,0,512,42.20476049222505,0.008092620256808089,92.697268100763,16,0,512
16,0,768,42.1760971802127,0.006951541671213013,124.4869369572962,16,0,768
16,0,1024,37.37147131494726,0.007050232149254661,161.60619103821267,16,0,1024
16,0,1536,36.87833413042748,0.006562563531483286,229.12131876330753,16,0,1536
33,0,8,2743.282009408874,0.23980045019319837,64.14458010829746,32,0,8
32,0,16,1091.227263408879,0.11970435660267831,47.80535731235764,32,0,16
32,0,32,347.13785267780145,0.06556038704039466,44.536526583693956,32,0,32
32,0,40,157.80553817661064,0.051762064741923616,42.740232353160835,32,0,40
32,0,64,45.063616801734064,0.03393510612629356,43.167223331965516,32,0,64
32,0,80,42.83274790703553,0.028763772518017254,45.18596652129936,32,0,80
32,0,96,42.6931979783774,0.023130225178760774,43.94086803935369,32,0,96
32,0,108,42.65835075615517,0.020694551164349807,44.45220012172415,32,0,108
32,0,128,42.615714154847986,0.01768603770389395,45.51611838727377,32,0,128
32,0,160,42.56893146894343,0.014433288709559988,47.412989131966576,32,0,160
32,0,256,42.484114645044066,0.00967259490436222,54.239479340503884,32,0,256
32,0,512,39.90471626958904,0.008092067473857925,92.01905268559098,32,0,512
32,0,768,39.8762588969714,0.006953563130696694,123.07395996338497,32,0,768
32,0,1024,35.07163634085604,0.00705229497311453,159.4956620636551,32,0,1024
32,0,1536,34.578458923713725,0.006564123447561305,225.60074052690675,32,0,1536
41,0,8,2698.204675686846,0.23682383180754418,71.12211915932495,40,0,8
40,0,16,1071.5425449039187,0.11835749421048634,51.22349265383342,40,0,16
40,0,32,334.8822140126691,0.06467229728205175,46.18318137222586,40,0,32
40,0,40,146.44945807309114,0.05112031980688597,43.8746403689628,40,0,40
40,0,64,45.01813187538462,0.03336654454692551,43.69952573965647,40,0,64
40,0,80,42.13274790703554,0.028763772518017258,46.15221035759721,40,0,80
40,0,96,41.9931979783774,0.02313022517876078,44.709867327245135,40,0,96
40,0,108,41.95835075615518,0.020694551164349807,45.13181061999572,40,0,108
40,0,128,41.91571415484799,0.01768603770389395,46.08106932517139,40,0,128
