num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
255,479,0,0,157.52,0.03,364.61,594.39,0.0
255,509,0,0,156.82,0.03,394.69,607.92,0.0
255,763,0,0,157.06,0.03,556.34,594.49,0.0
255,1022,0,0,135.97,0.03,731.23,598.19,0.0
255,2039,0,0,100.55,0.04,1380.75,585.12,0.0
255,4094,0,0,87.71,0.04,2725.28,584.66,0.0
480,0,0,0,547.38,0.01,95.36,668.4,0.0
480,5,0,0,279.3,0.03,100.17,660.66,0.0
480,16,0,0,279.3,0.03,103.77,646.22,0.0
480,32,0,0,279.3,0.03,113.42,635.45,0.0
480,48,0,0,279.3,0.03,123.09,626.76,0.0
480,64,0,0,279.3,0.02,132.98,620.48,0.0
480,72,0,0,279.3,0.02,137.86,617.46,0.0
480,96,0,0,279.3,0.02,152.87,611.13,0.0
480,127,0,0,277.63,0.02,174.88,611.55,0.0
480,192,0,0,277.63,0.02,215.63,602.99,0.0
480,255,0,0,276.43,0.02,258.9,603.15,0.0
480,479,0,0,157.52,0.03,401.72,590.76,0.0
480,509,0,0,156.82,0.03,429.62,600.18,0.0
480,763,0,0,157.06,0.03,592.0,590.58,0.0
480,1022,0,0,135.97,0.03,764.79,593.33,0.0
480,2039,0,0,100.55,0.04,1419.59,585.08,0.0
480,4094,0,0,87.71,0.04,2764.15,584.65,0.0
510,0,0,0,336.62,0.03,111.74,734.29,0.0
510,5,0,0,279.3,0.03,120.66,748.83,0.0
510,16,0,0,279.3,0.03,115.66,680.02,0.0
510,32,0,0,279.3,0.02,116.3,618.64,0.0
510,48,0,0,279.3,0.02,117.55,570.86,0.0
510,64,0,0,279.3,0.02,119.51,533.95,0.0
510,72,0,0,279.3,0.02,119.86,514.91,0.0
510,96,0,0,279.3,0.01,121.62,468.41,0.0
510,127,0,0,277.63,0.01,126.47,428.02,0.0
510,192,0,0,277.63,0.01,143.66,391.31,0.0
510,255,0,0,276.43,0.01,171.79,391.53,0.0
510,479,0,0,157.52,0.02,261.54,379.31,0.0
510,509,0,0,156.82,0.02,281.96,388.73,0.0
510,763,0,0,157.06,0.02,384.1,379.58,0.0
510,1022,0,0,135.97,0.02,496.28,382.19,0.0
510,2039,0,0,100.55,0.02,911.75,374.31,0.0
510,4094,0,0,87.71,0.02,1771.21,373.88,0.0
767,0,0,0,333.75,0.01,120.48,527.82,0.0
767,5,0,0,277.45,0.02,134.48,566.91,0.0
767,16,0,0,277.45,0.02,124.62,506.23,0.0
767,32,0,0,277.45,0.01,124.13,470.04,0.0
767,48,0,0,277.45,0.01,123.23,436.98,0.0
767,64,0,0,277.45,0.01,123.9,413.12,0.0
767,72,0,0,277.45,0.01,125.07,404.93,0.0
767,96,0,0,277.45,0.01,132.42,394.41,0.0
767,127,0,0,277.45,0.01,146.87,395.28,0.0
767,192,0,0,277.45,0.01,172.1,388.32,0.0
767,255,0,0,276.43,0.01,200.27,388.99,0.0
767,479,0,0,157.52,0.02,289.61,378.28,0.0
767,509,0,0,156.82,0.02,310.27,387.15,0.0
767,763,0,0,157.06,0.02,412.05,378.72,0.0
767,1022,0,0,135.97,0.02,523.97,381.19,0.0
767,2039,0,0,100.55,0.02,932.21,371.11,0.0
767,4094,0,0,87.71,0.02,1774.64,368.68,0.0
1023,0,0,0,251.05,0.02,169.44,556.72,0.0
1023,5,0,0,246.68,0.03,199.95,638.2,0.0
1023,16,0,0,246.68,0.02,169.23,525.12,0.0
1023,32,0,0,246.68,0.02,167.87,493.48,0.0
1023,48,0,0,246.68,0.02,165.68,462.67,0.0
1023,64,0,0,246.68,0.01,162.8,432.97,0.0
1023,72,0,0,246.68,0.01,162.76,422.81,0.0
1023,96,0,0,246.68,0.01,161.26,391.57,0.0
1023,127,0,0,245.81,0.01,163.43,365.08,0.0
1023,192,0,0,245.81,0.01,172.6,332.38,0.0
1023,255,0,0,244.61,0.01,196.78,332.99,0.0
1023,479,0,0,157.52,0.01,246.21,292.51,0.0
1023,509,0,0,156.82,0.01,263.12,299.85,0.0
1023,763,0,0,157.06,0.01,340.8,292.76,0.0
1023,1022,0,0,135.97,0.01,427.84,294.93,0.0
1023,2039,0,0,100.55,0.01,741.15,286.38,0.0
1023,4094,0,0,87.71,0.01,1392.25,284.74,0.0
2042,0,0,0,147.66,0.02,248.14,407.64,0.0
2042,5,0,0,143.28,0.02,272.85,441.74,0.0
2042,16,0,0,143.28,0.02,256.81,409.83,0.0
2042,32,0,0,143.28,0.02,240.78,373.57,0.0
2042,48,0,0,143.28,0.02,237.25,358.15,0.0
2042,64,0,0,143.28,0.01,232.54,341.8,0.0
2042,72,0,0,143.28,0.01,234.27,339.87,0.0
2042,96,0,0,143.28,0.01,235.72,329.14,0.0
2042,127,0,0,143.28,0.01,247.89,329.64,0.0
2042,192,0,0,143.28,0.01,268.67,326.2,0.0
2042,255,0,0,143.28,0.01,292.54,326.76,0.0
2042,479,0,0,143.28,0.0,241.22,210.48,0.0
2042,509,0,0,142.58,0.0,248.91,210.61,0.0
2042,763,0,0,142.83,0.0,297.16,202.37,0.0
2042,1022,0,0,135.97,0.0,346.96,197.7,0.0
2042,2039,0,0,100.55,0.01,529.93,183.22,0.0
2042,4094,0,0,87.71,0.01,942.79,181.52,0.0
4085,0,0,0,147.14,0.01,284.34,234.02,0.0
4085,5,0,0,142.76,0.01,410.74,335.57,0.0
4085,16,0,0,142.76,0.01,409.95,332.49,0.0
4085,32,0,0,142.76,0.01,414.71,331.54,0.0
4085,48,0,0,142.76,0.01,417.17,328.8,0.0
4085,64,0,0,142.76,0.01,421.43,327.53,0.0
4085,72,0,0,142.76,0.01,422.97,326.45,0.0
4085,96,0,0,142.76,0.01,429.27,324.59,0.0
4085,127,0,0,142.76,0.01,441.34,324.91,0.0
4085,192,0,0,142.76,0.01,461.13,322.48,0.0
4085,255,0,0,142.76,0.01,485.01,322.99,0.0
4085,479,0,0,142.76,0.0,349.93,199.69,0.0
4085,509,0,0,142.58,0.0,364.39,203.77,0.0
4085,763,0,0,142.76,0.0,415.22,200.13,0.0
4085,1022,0,0,135.97,0.0,442.16,187.25,0.0
4085,2039,0,0,100.55,0.01,636.75,182.0,0.0
4085,4094,0,0,87.71,0.01,1047.16,180.54,0.0
0,0,8,0,16963.69,1.26,164.71,17563.69,0.0
